FIRST_OCCU,GEO_LON,GEO_LAT
9-Nov-16,-104.9935915,39.7471577
17-Nov-16,-105.0108604,39.7742797
22-Nov-16,-104.9717542,39.7360175
24-Nov-16,-104.9533437,39.7773731
26-Nov-16,-105.0265359,39.6999581
27-Nov-16,-104.8217353,39.7941483
27-Nov-16,-0.0000024,0.0000012
25-Dec-16,-104.979578,39.7387455
1-Jan-17,-105.0326489,39.6572324
11-Jan-17,-104.8370175,39.7767508
23-Jan-17,-105.0256864,39.6847319
25-Jan-17,-105.0395243,39.7066395
31-Jan-17,-105.0009193,39.7519054
7-Feb-17,-105.0529664,39.7351105
14-Feb-17,-104.9600982,39.7688501
25-Feb-17,-104.999493,39.7489372
17-Mar-17,-105.0245971,39.6897514
18-Mar-17,-104.982328,39.7400232
18-Mar-17,-104.8890347,39.7472132
1-Apr-17,-104.9072773,39.7259372
1-Apr-17,-104.9864733,39.7513189
3-Apr-17,-104.9807882,39.7597164
14-Apr-17,-105.0431074,39.6558075
19-Apr-17,-104.865889,39.7756333
21-Apr-17,-105.0551655,39.6787882
27-Apr-17,-104.8931845,39.7423343
3-May-17,-105.042949,39.7096151
10-May-17,-104.9056326,39.6775151
11-May-17,-104.9844619,39.7428822
15-May-17,-104.89674,39.6464967
23-May-17,-104.9874154,39.7338549
16-Jun-17,-104.9848621,39.7547242
23-Jun-17,-104.9623777,39.6840587
28-Jun-17,-104.8804498,39.6441443
30-Jun-17,-104.9901941,39.693017
30-Jun-17,-104.9594379,39.75805
5-Jul-17,-104.9597638,39.7582272
9-Jul-17,-104.9805078,39.7399548
10-Jul-17,-104.9935737,39.7397729
11-Jul-17,-104.9516237,39.7752952
11-Jul-17,-105.0099728,39.7724806
16-Jul-17,-105.0166847,39.6983724
19-Jul-17,-104.9753652,39.7676234
29-Jul-17,-104.9238814,39.7634762
29-Jul-17,-105.0287668,39.6281216
31-Jul-17,-105.0017862,39.7510333
31-Jul-17,-104.9798226,39.7522807
8-Aug-17,-104.8647437,39.7728517
16-Aug-17,-104.8791923,39.7233353
18-Aug-17,-104.939732,39.7563629
20-Aug-17,-104.8393686,39.7873909
21-Aug-17,-104.9811496,39.7156893
